snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1589256043,800,90,50.95944,1.36394,3852,49,1177
1589256050,800,98,50.95934,1.36627,3852,49,1177
1589256056,800,108,50.95896,1.36848,3852,51,1177
1589256064,800,121,50.95804,1.37161,3852,53,1177
1589256070,800,132,50.95702,1.37374,3852,58,1177
1589256076,800,142,50.95583,1.37544,3852,61,1177
1589256082,800,153,50.95445,1.37680,3852,63,1177
1589256090,800,159,50.95245,1.37794,3852,66,1177
1589256098,800,181,50.94960,1.37827,3852,70,1177
1589256106,800,200,50.94708,1.37730,3852,72,1177
1589256112,800,213,50.94519,1.37566,3852,68,1177
1589256118,800,228,50.94379,1.37367,3852,67,1177
1589256124,800,237,50.94281,1.37169,3852,66,1177
1589256130,800,250,50.94188,1.36864,3852,63,1177
1589256136,800,263,50.94145,1.36557,3852,62,1177
1589256176,800,323,50.94505,1.35246,3852,45,1177
1589256182,800,332,50.94617,1.35139,3852,46,1177
1589256188,800,333,50.94713,1.35072,3852,44,1177
1589256194,800,348,50.94846,1.35006,3852,40,1177
1589256200,800,355,50.94970,1.34979,3852,42,1177
1589256208,800,355,50.95110,1.34979,3852,41,1177
1589256230,800,33,50.95529,1.35193,3852,41,1177
1589256236,800,40,50.95631,1.35315,3852,43,1177
1589256242,800,47,50.95720,1.35458,3852,43,1177
1589256248,800,54,50.95793,1.35607,3852,43,1177
1589256254,800,64,50.95850,1.35765,3852,43,1177
1589256260,800,72,50.95896,1.35956,3852,43,1177
1589256266,800,79,50.95929,1.36146,3852,44,1177
1589256272,800,88,50.95943,1.36345,3852,48,1177
1589256278,800,95,50.95934,1.36574,3852,50,1177
1589256284,800,104,50.95912,1.36780,3852,52,1177
1589256290,800,112,50.95857,1.37010,3852,52,1177
1589256296,800,124,50.95785,1.37215,3852,58,1177
1589256302,800,135,50.95665,1.37433,3852,61,1177
1589256308,800,147,50.95528,1.37611,3852,62,1177
1589256314,800,155,50.95363,1.37737,3852,67,1177
1589256322,800,177,50.95091,1.37825,3852,71,1177
1589256328,800,187,50.94905,1.37812,3852,72,1177
1589256338,800,207,50.94585,1.37634,3852,72,1177
1589256344,800,219,50.94452,1.37485,3852,68,1177
1589256350,800,233,50.94309,1.37237,3852,68,1177
1589256356,800,244,50.94209,1.36965,3852,66,1177
1589256362,800,258,50.94159,1.36698,3852,64,1177
1589256372,800,265,50.94141,1.36282,3852,62,1177
1589256402,800,322,50.94481,1.35277,3852,45,1177
1589256408,800,329,50.94588,1.35170,3852,45,1177
1589256414,800,336,50.94700,1.35078,3852,43,1177
1589256422,800,345,50.94854,1.35002,3852,44,1177
1589256430,800,357,50.95020,1.34976,3852,41,1177
1589256436,800,4,50.95120,1.34976,3852,40,1177
1589256444,800,14,50.95282,1.35025,3852,39,1177
1589256450,800,23,50.95389,1.35078,3852,38,1177
1589256456,800,29,50.95487,1.35162,3852,38,1177
1589256462,800,35,50.95571,1.35246,3852,39,1177
1589256468,800,41,50.95668,1.35376,3852,40,1177
1589256474,800,47,50.95743,1.35506,3852,43,1177
1589256480,800,56,50.95813,1.35666,3852,43,1177
1589256486,800,68,50.95871,1.35852,3852,44,1177
1589256492,800,73,50.95911,1.36032,3852,42,1177
1589256498,800,82,50.95940,1.36231,3852,44,1177
1589256522,800,115,50.95848,1.37032,3852,54,1177
1589256530,800,132,50.95702,1.37381,3852,58,1177
1589256536,800,141,50.95608,1.37512,3852,62,1177
1589256542,800,153,50.95445,1.37678,3852,66,1177
1589256548,800,162,50.95294,1.37774,3852,66,1177
1589256554,800,179,50.95047,1.37834,3852,70,1177
1589256576,800,196,50.94383,1.37567,3852,68,1177
1589256584,800,196,50.94099,1.37441,3852,71,1177
1589256594,800,196,50.93830,1.37314,3852,71,1177
1589256600,800,195,50.93619,1.37218,3852,70,1177
1589256612,800,195,50.93276,1.37062,3852,70,1177
1589256618,800,195,50.93038,1.36948,3852,74,1177
1589256630,800,196,50.92675,1.36780,3852,73,1177
